
---------- Begin Simulation Statistics ----------
final_tick                                18882381000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 108130                       # Simulator instruction rate (inst/s)
host_mem_usage                                 726124                       # Number of bytes of host memory used
host_op_rate                                   201920                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   258.15                       # Real time elapsed on the host
host_tick_rate                               73146050                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    27913381                       # Number of instructions simulated
sim_ops                                      52124780                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.018882                       # Number of seconds simulated
sim_ticks                                 18882381000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  32875537                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 20942478                       # number of cc regfile writes
system.cpu.committedInsts                    27913381                       # Number of Instructions Simulated
system.cpu.committedOps                      52124780                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.352927                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.352927                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1101792                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   554962                       # number of floating regfile writes
system.cpu.idleCycles                         2261411                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               296494                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6276492                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.568730                       # Inst execution rate
system.cpu.iew.exec_refs                     11513443                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    3457243                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1895216                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               8450173                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                721                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             80547                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              3737191                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            62866228                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8056200                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            447122                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              59242711                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  16570                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                602490                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 283125                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                627275                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1495                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       181110                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         115384                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  72931817                       # num instructions consuming a value
system.cpu.iew.wb_count                      58939250                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.596900                       # average fanout of values written-back
system.cpu.iew.wb_producers                  43532976                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.560694                       # insts written-back per cycle
system.cpu.iew.wb_sent                       59071455                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 90999118                       # number of integer regfile reads
system.cpu.int_regfile_writes                50981393                       # number of integer regfile writes
system.cpu.ipc                               0.739138                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.739138                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            321401      0.54%      0.54% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              45900074     76.90%     77.44% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               416925      0.70%     78.13% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                966204      1.62%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               25047      0.04%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2446      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               126934      0.21%     80.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     80.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                75768      0.13%     80.14% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              188907      0.32%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1222      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              16      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           16998      0.03%     80.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv            7738      0.01%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.50% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.50% # Type of FU issued
