
---------- Begin Simulation Statistics ----------
final_tick                                 5301378000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 115321                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725104                       # Number of bytes of host memory used
host_op_rate                                   197093                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    82.78                       # Real time elapsed on the host
host_tick_rate                               64038045                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     9546838                       # Number of instructions simulated
sim_ops                                      16316343                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005301                       # Number of seconds simulated
sim_ticks                                  5301378000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12755012                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  9935603                       # number of cc regfile writes
system.cpu.committedInsts                     9546838                       # Number of Instructions Simulated
system.cpu.committedOps                      16316343                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.110604                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.110604                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1463537                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1121816                       # number of floating regfile writes
system.cpu.idleCycles                          412796                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               177692                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2334814                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.051180                       # Inst execution rate
system.cpu.iew.exec_refs                      3027255                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     610272                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1515052                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2836061                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                173                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              8978                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               838535                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            24683645                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2416983                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            329131                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              21748166                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  16506                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                228008                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 170539                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                252641                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            369                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        72580                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         105112                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  30016247                       # num instructions consuming a value
system.cpu.iew.wb_count                      21549468                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.583072                       # average fanout of values written-back
system.cpu.iew.wb_producers                  17501626                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.032440                       # insts written-back per cycle
system.cpu.iew.wb_sent                       21631289                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 30764168                       # number of integer regfile reads
system.cpu.int_regfile_writes                18761180                       # number of integer regfile writes
system.cpu.ipc                               0.900411                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.900411                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            197014      0.89%      0.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17385646     78.75%     79.64% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                19812      0.09%     79.73% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                630697      2.86%     82.59% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              252517      1.14%     83.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     83.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     83.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     83.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     83.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     83.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     83.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     83.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2446      0.01%     83.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     83.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                48094      0.22%     83.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     83.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                10555      0.05%     84.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                5355      0.02%     84.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     84.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     84.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1234      0.01%     84.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     84.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     84.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     84.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd          157738      0.71%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     84.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          162512      0.74%     85.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv           56095      0.25%     85.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     85.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          50195      0.23%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     85.97% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2074787      9.40%     95.37% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite              464048      2.10%     97.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          394597      1.79%     99.26% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         163955      0.74%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               22077297                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 1353514                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             2679586                       # Number of floating instruction queue reads
