
---------- Begin Simulation Statistics ----------
final_tick                                18413191000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  82149                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725100                       # Number of bytes of host memory used
host_op_rate                                   144823                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   325.39                       # Real time elapsed on the host
host_tick_rate                               56587535                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    26730654                       # Number of instructions simulated
sim_ops                                      47124472                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.018413                       # Number of seconds simulated
sim_ticks                                 18413191000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  72633775                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 45259525                       # number of cc regfile writes
system.cpu.committedInsts                    26730654                       # Number of Instructions Simulated
system.cpu.committedOps                      47124472                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.377684                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.377684                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    161053                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   102392                       # number of floating regfile writes
system.cpu.idleCycles                          251440                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1870244                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  9966528                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.352027                       # Inst execution rate
system.cpu.iew.exec_refs                      7327002                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     491019                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 8808932                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               9004605                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                187                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             15043                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               673553                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           119690845                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               6835983                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2231212                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              86616645                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 108819                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                193893                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1441309                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                333287                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            273                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       968872                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         901372                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 120993601                       # num instructions consuming a value
system.cpu.iew.wb_count                      85483617                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.569420                       # average fanout of values written-back
system.cpu.iew.wb_producers                  68896196                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.321260                       # insts written-back per cycle
system.cpu.iew.wb_sent                       85918339                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                105739296                       # number of integer regfile reads
system.cpu.int_regfile_writes                77179223                       # number of integer regfile writes
system.cpu.ipc                               0.725856                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.725856                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            263794      0.30%      0.30% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              79608527     89.60%     89.90% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                36278      0.04%     89.94% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                933448      1.05%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 324      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2450      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     90.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                27842      0.03%     91.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     91.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 9721      0.01%     91.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                2826      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1237      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              16      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             150      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              57      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     91.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     91.04% # Type of FU issued
