
---------- Begin Simulation Statistics ----------
final_tick                                 5322877000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 145767                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725104                       # Number of bytes of host memory used
host_op_rate                                   249127                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    65.49                       # Real time elapsed on the host
host_tick_rate                               81271821                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     9546925                       # Number of instructions simulated
sim_ops                                      16316477                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005323                       # Number of seconds simulated
sim_ticks                                  5322877000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12797080                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  9984097                       # number of cc regfile writes
system.cpu.committedInsts                     9546925                       # Number of Instructions Simulated
system.cpu.committedOps                      16316477                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.115098                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.115098                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1468479                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1125276                       # number of floating regfile writes
system.cpu.idleCycles                          431137                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               177826                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2342064                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.049866                       # Inst execution rate
system.cpu.iew.exec_refs                      3030031                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     610555                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1463424                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2842877                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                175                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              8937                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               839018                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            24780413                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2419476                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            329840                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              21822369                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  16961                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                233004                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 170717                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                257897                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            346                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        72483                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         105343                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  30136765                       # num instructions consuming a value
system.cpu.iew.wb_count                      21623677                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.582692                       # average fanout of values written-back
system.cpu.iew.wb_producers                  17560452                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.031202                       # insts written-back per cycle
system.cpu.iew.wb_sent                       21705223                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 30853366                       # number of integer regfile reads
system.cpu.int_regfile_writes                18824122                       # number of integer regfile writes
system.cpu.ipc                               0.896782                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.896782                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            196940      0.89%      0.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17455983     78.80%     79.69% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                19819      0.09%     79.78% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                630673      2.85%     82.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              252908      1.14%     83.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     83.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     83.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     83.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     83.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     83.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     83.77% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     83.77% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2446      0.01%     83.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     83.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                48022      0.22%     84.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     84.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                10555      0.05%     84.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                5343      0.02%     84.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     84.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     84.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1234      0.01%     84.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     84.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     84.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     84.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd          158250      0.71%     84.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     84.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     84.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          162752      0.73%     85.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv           56697      0.26%     85.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     85.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          50504      0.23%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     86.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     86.01% # Type of FU issued
