
---------- Begin Simulation Statistics ----------
final_tick                                 3147432000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 123661                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725108                       # Number of bytes of host memory used
host_op_rate                                   239595                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    38.86                       # Real time elapsed on the host
host_tick_rate                               80999958                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     4805092                       # Number of instructions simulated
sim_ops                                       9309984                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.003147                       # Number of seconds simulated
sim_ticks                                  3147432000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   6520849                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4727491                       # number of cc regfile writes
system.cpu.committedInsts                     4805092                       # Number of Instructions Simulated
system.cpu.committedOps                       9309984                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.310040                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.310040                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    179530                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   113780                       # number of floating regfile writes
system.cpu.idleCycles                          204437                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                88307                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1234368                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.854728                       # Inst execution rate
system.cpu.iew.exec_refs                      1701992                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     454114                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  871354                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               1430963                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                247                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6824                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               597521                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            13407297                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               1247878                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            174428                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              11675260                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   5557                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                203416                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  85080                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                224023                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            256                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        49976                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          38331                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  19113155                       # num instructions consuming a value
system.cpu.iew.wb_count                      11590034                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.476928                       # average fanout of values written-back
system.cpu.iew.wb_producers                   9115602                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.841189                       # insts written-back per cycle
system.cpu.iew.wb_sent                       11628550                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 20599088                       # number of integer regfile reads
system.cpu.int_regfile_writes                12434386                       # number of integer regfile writes
system.cpu.ipc                               0.763335                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.763335                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            313577      2.65%      2.65% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               8392039     70.82%     73.47% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                44541      0.38%     73.84% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               1311815     11.07%     84.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 485      0.00%     84.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     84.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     84.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                 16      0.00%     84.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     84.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     84.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     84.92% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     84.92% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 6574      0.06%     84.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     84.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                26830      0.23%     85.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     85.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 9957      0.08%     85.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                3384      0.03%     85.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     85.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     85.31% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1232      0.01%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              32      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             192      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              22      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             32      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     85.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     85.32% # Type of FU issued
