
---------- Begin Simulation Statistics ----------
final_tick                                 5448962000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 118159                       # Simulator instruction rate (inst/s)
host_mem_usage                                 727148                       # Number of bytes of host memory used
host_op_rate                                   201943                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    80.80                       # Real time elapsed on the host
host_tick_rate                               67440921                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     9546734                       # Number of instructions simulated
sim_ops                                      16316196                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005449                       # Number of seconds simulated
sim_ticks                                  5448962000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12611776                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  9790674                       # number of cc regfile writes
system.cpu.committedInsts                     9546734                       # Number of Instructions Simulated
system.cpu.committedOps                      16316196                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.141534                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.141534                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1398924                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  1062231                       # number of floating regfile writes
system.cpu.idleCycles                          438043                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               178563                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2291470                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.963441                       # Inst execution rate
system.cpu.iew.exec_refs                      2950418                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     596835                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1530345                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2770917                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 71                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              5967                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               826205                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            25248947                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2353583                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            292649                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              21397431                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  17971                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                234268                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 172361                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                260211                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            310                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        49493                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         129070                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  29956549                       # num instructions consuming a value
system.cpu.iew.wb_count                      21211602                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.575629                       # average fanout of values written-back
system.cpu.iew.wb_producers                  17243868                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.946389                       # insts written-back per cycle
system.cpu.iew.wb_sent                       21296430                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 30454397                       # number of integer regfile reads
system.cpu.int_regfile_writes                18612997                       # number of integer regfile writes
system.cpu.ipc                               0.876014                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.876014                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            188479      0.87%      0.87% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17107958     78.87%     79.74% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                19686      0.09%     79.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                663139      3.06%     82.89% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              234118      1.08%     83.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     83.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     83.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     83.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     83.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     83.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     83.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     83.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2446      0.01%     83.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     83.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                48140      0.22%     84.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     84.20% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                10554      0.05%     84.25% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                5356      0.02%     84.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     84.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     84.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1234      0.01%     84.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     84.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     84.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     84.28% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd          150209      0.69%     84.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     84.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     84.98% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          151000      0.70%     85.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv           52696      0.24%     85.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     85.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          47218      0.22%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     86.13% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2020680      9.32%     95.45% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite              447158      2.06%     97.51% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          376050      1.73%     99.24% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         163959      0.76%    100.00% # Type of FU issued
