
---------- Begin Simulation Statistics ----------
final_tick                                 2640762500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  97858                       # Simulator instruction rate (inst/s)
host_mem_usage                                 726116                       # Number of bytes of host memory used
host_op_rate                                   180002                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    39.10                       # Real time elapsed on the host
host_tick_rate                               67531720                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     3826630                       # Number of instructions simulated
sim_ops                                       7038795                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.002641                       # Number of seconds simulated
sim_ticks                                  2640762500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   4992229                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  3480492                       # number of cc regfile writes
system.cpu.committedInsts                     3826630                       # Number of Instructions Simulated
system.cpu.committedOps                       7038795                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.380203                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.380203                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    215433                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   139987                       # number of floating regfile writes
system.cpu.idleCycles                          242658                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                89198                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   944529                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.689745                       # Inst execution rate
system.cpu.iew.exec_refs                      1503880                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     466104                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  570372                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               1168562                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 89                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6028                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               595389                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            10961842                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               1037776                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            137666                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts               8924433                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   5344                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                200564                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  87655                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                210348                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            247                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        31441                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          57757                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  13096714                       # num instructions consuming a value
system.cpu.iew.wb_count                       8824023                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.508796                       # average fanout of values written-back
system.cpu.iew.wb_producers                   6663559                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.670734                       # insts written-back per cycle
system.cpu.iew.wb_sent                        8884078                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 14990507                       # number of integer regfile reads
system.cpu.int_regfile_writes                 8623347                       # number of integer regfile writes
system.cpu.ipc                               0.724531                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.724531                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            174595      1.93%      1.93% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               6611281     72.96%     74.88% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                20322      0.22%     75.11% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                662974      7.32%     82.42% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                1041      0.01%     82.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     82.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     82.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     82.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     82.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     82.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     82.43% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     82.43% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2446      0.03%     82.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     82.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                31742      0.35%     82.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     82.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                12004      0.13%     82.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                8607      0.09%     83.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     83.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     83.04% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1229      0.01%     83.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     83.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     83.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     83.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              16      0.00%     83.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     83.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     83.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             477      0.01%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv             175      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     83.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     83.06% # Type of FU issued
