
---------- Begin Simulation Statistics ----------
final_tick                                 3461686000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 101543                       # Simulator instruction rate (inst/s)
host_mem_usage                                 727156                       # Number of bytes of host memory used
host_op_rate                                   196737                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    47.32                       # Real time elapsed on the host
host_tick_rate                               73154881                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     4804993                       # Number of instructions simulated
sim_ops                                       9309602                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.003462                       # Number of seconds simulated
sim_ticks                                  3461686000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   6336286                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  4547018                       # number of cc regfile writes
system.cpu.committedInsts                     4804993                       # Number of Instructions Simulated
system.cpu.committedOps                       9309602                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.440871                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.440871                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    179701                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   111396                       # number of floating regfile writes
system.cpu.idleCycles                          210539                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               106320                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1182613                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.630343                       # Inst execution rate
system.cpu.iew.exec_refs                      1626499                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     439621                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1021297                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               1345836                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                111                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              5106                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               581109                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            14789246                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               1186878                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            139506                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              11287473                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   5864                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                199581                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 105158                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                220755                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            202                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        32688                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          73632                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  19567140                       # num instructions consuming a value
system.cpu.iew.wb_count                      11211633                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.448992                       # average fanout of values written-back
system.cpu.iew.wb_producers                   8785488                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.619389                       # insts written-back per cycle
system.cpu.iew.wb_sent                       11252085                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 20507888                       # number of integer regfile reads
system.cpu.int_regfile_writes                12303488                       # number of integer regfile writes
system.cpu.ipc                               0.694025                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.694025                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            305692      2.68%      2.68% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               7977226     69.81%     72.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                44421      0.39%     72.87% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               1397629     12.23%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 396      0.00%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                 16      0.00%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     85.11% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 6574      0.06%     85.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     85.17% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                26868      0.24%     85.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     85.40% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 9940      0.09%     85.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                3376      0.03%     85.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     85.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     85.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1234      0.01%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              32      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             197      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              23      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             33      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     85.53% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     85.53% # Type of FU issued
