
---------- Begin Simulation Statistics ----------
final_tick                                 4431712000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 136048                       # Simulator instruction rate (inst/s)
host_mem_usage                                 726120                       # Number of bytes of host memory used
host_op_rate                                   266623                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                    86.40                       # Real time elapsed on the host
host_tick_rate                               51295352                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    11753999                       # Number of instructions simulated
sim_ops                                      23035183                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.004432                       # Number of seconds simulated
sim_ticks                                  4431712000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12053493                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  9646288                       # number of cc regfile writes
system.cpu.committedInsts                    11753999                       # Number of Instructions Simulated
system.cpu.committedOps                      23035183                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.754077                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.754077                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   6469676                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  4376987                       # number of floating regfile writes
system.cpu.idleCycles                          240646                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               123240                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2384272                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.842094                       # Inst execution rate
system.cpu.iew.exec_refs                      4870600                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     523034                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  782206                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               4653129                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 69                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             13840                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               732439                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            27976169                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               4347566                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            236844                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              25190686                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   4917                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                208733                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 118497                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                219545                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            255                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        39957                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          83283                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  33612889                       # num instructions consuming a value
system.cpu.iew.wb_count                      25046819                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.625550                       # average fanout of values written-back
system.cpu.iew.wb_producers                  21026535                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.825862                       # insts written-back per cycle
system.cpu.iew.wb_sent                       25099119                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 31717887                       # number of integer regfile reads
system.cpu.int_regfile_writes                19119672                       # number of integer regfile writes
system.cpu.ipc                               1.326124                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.326124                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            158072      0.62%      0.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              17178654     67.56%     68.18% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                18880      0.07%     68.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                662919      2.61%     70.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              222330      0.87%     71.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     71.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     71.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     71.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     71.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     71.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     71.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     71.74% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2446      0.01%     71.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     71.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               325388      1.28%     73.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     73.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                11151      0.04%     73.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc               55454      0.22%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1232      0.00%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     73.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         1668399      6.56%     79.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           98886      0.39%     80.24% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv           49203      0.19%     80.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          49404      0.19%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.63% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2487408      9.78%     90.41% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite              354916      1.40%     91.81% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead         1903147      7.48%     99.29% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         179641      0.71%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               25427530                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                 4740504                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             9328150                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses      4549949                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes            5224006                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      345158                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.013574                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  127598     36.97%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     36.97% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                    293      0.08%     37.05% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     37.05% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                     93      0.03%     37.08% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                   132      0.04%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     37.12% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv               128      0.04%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     37.16% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                  61017     17.68%     54.83% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                  2198      0.64%     55.47% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead            150089     43.48%     98.95% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite             3610      1.05%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses               20874112                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads           50504404                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses     20496870                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes          27693376                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                   27974305                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                  25427530                       # Number of instructions issued
