
---------- Begin Simulation Statistics ----------
final_tick                                18490928000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 102437                       # Simulator instruction rate (inst/s)
host_mem_usage                                 727148                       # Number of bytes of host memory used
host_op_rate                                   191288                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   272.44                       # Real time elapsed on the host
host_tick_rate                               67871323                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    27908093                       # Number of instructions simulated
sim_ops                                      52114707                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.018491                       # Number of seconds simulated
sim_ticks                                 18490928000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  32778506                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 20928895                       # number of cc regfile writes
system.cpu.committedInsts                    27908093                       # Number of Instructions Simulated
system.cpu.committedOps                      52114707                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.325130                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.325130                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1102450                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   555720                       # number of floating regfile writes
system.cpu.idleCycles                         1522627                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               274433                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6235632                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.591271                       # Inst execution rate
system.cpu.iew.exec_refs                     11454521                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    3452711                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1775289                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               8376321                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                591                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             71479                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              3713894                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            63350639                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8001810                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            422122                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              58848144                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  17466                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                659741                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 265774                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                683714                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1362                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       153814                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         120619                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  72910164                       # num instructions consuming a value
system.cpu.iew.wb_count                      58574306                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.593354                       # average fanout of values written-back
system.cpu.iew.wb_producers                  43261554                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.583866                       # insts written-back per cycle
system.cpu.iew.wb_sent                       58699637                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 90671407                       # number of integer regfile reads
system.cpu.int_regfile_writes                50715417                       # number of integer regfile writes
system.cpu.ipc                               0.754643                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.754643                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            308916      0.52%      0.52% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              45521799     76.80%     77.32% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               418599      0.71%     78.03% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                993859      1.68%     79.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               24991      0.04%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2447      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.75% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               127029      0.21%     79.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     79.97% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                75789      0.13%     80.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              188991      0.32%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1224      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              16      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     80.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           17032      0.03%     80.45% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv            7757      0.01%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     80.46% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              7961477     13.43%     93.89% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             3341512      5.64%     99.53% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead          133019      0.22%     99.75% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite         145809      0.25%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total               59270266                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                  815757                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads             1599890                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses       769213                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes             872237                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                      690902                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.011657                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                  587573     85.04%     85.04% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     85.04% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     85.04% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     85.04% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     85.04% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     85.04% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     85.04% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     85.04% # attempts to use FU when none available
