
---------- Begin Simulation Statistics ----------
final_tick                                19687432500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  74869                       # Simulator instruction rate (inst/s)
host_mem_usage                                 726120                       # Number of bytes of host memory used
host_op_rate                                   131989                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   357.03                       # Real time elapsed on the host
host_tick_rate                               55141789                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    26730708                       # Number of instructions simulated
sim_ops                                      47124564                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.019687                       # Number of seconds simulated
sim_ticks                                 19687432500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  69492299                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 48242292                       # number of cc regfile writes
system.cpu.committedInsts                    26730708                       # Number of Instructions Simulated
system.cpu.committedOps                      47124564                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.473020                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.473020                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    159301                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   101563                       # number of floating regfile writes
system.cpu.idleCycles                          241082                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2374617                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  9779804                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.381270                       # Inst execution rate
system.cpu.iew.exec_refs                      8940624                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     476405                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 9490489                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              11360238                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 68                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              6942                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               680123                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           128242943                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8464219                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           2969852                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              93762193                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  39564                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                208298                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1490438                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                257146                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            257                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       812225                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1562392                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 127259952                       # num instructions consuming a value
system.cpu.iew.wb_count                      92450236                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.603904                       # average fanout of values written-back
system.cpu.iew.wb_producers                  76852737                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.347950                       # insts written-back per cycle
system.cpu.iew.wb_sent                       92959536                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                110636855                       # number of integer regfile reads
system.cpu.int_regfile_writes                84527495                       # number of integer regfile writes
system.cpu.ipc                               0.678877                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.678877                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            248764      0.26%      0.26% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              85602833     88.49%     88.75% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                36195      0.04%     88.79% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                980981      1.01%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 237      0.00%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     89.80% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 2446      0.00%     89.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     89.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                26728      0.03%     89.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     89.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 9717      0.01%     89.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                2819      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               1236      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd              16      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             126      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv              54      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     89.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     89.85% # Type of FU issued
